status_slucaja,confidence,izvor_snimka,model,napomena,povrsina_px,odnos_stranica,popunjenost,procenjena_povrsina_m2,parcela_id,broj_parcele,katastarska_opstina,inspektor_id,ima_dozvolu,preklapa_objekat_id
Kandidat - bespravni objekat,0.919,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,152.0,2.25,0.47,36.49,,,,1,False,
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,169.5,1.2,0.63,41.18,297,ADICA-TEST-2,Adica,1,False,
Kandidat - bespravni objekat,0.878,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,162.5,1.05,0.43,40.7,,,,1,False,
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,149.0,1.54,0.57,36.13,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,586.5,1.56,0.52,143.58,306,ADICA-TEST-11,Adica,1,True,166
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,149.5,1.13,0.59,35.41,,,,1,False,
Kandidat - bespravni objekat,0.917,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,175.0,1.67,0.47,43.58,297,ADICA-TEST-2,Adica,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,518.5,1.87,0.52,124.61,314,ADICA-TEST-19,Adica,1,True,174
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,391.0,1.04,0.71,94.48,337,ADICA-TEST-42,Adica,1,True,197
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,122.5,1.58,0.54,29.65,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,444.5,1.36,0.67,106.36,328,ADICA-TEST-33,Adica,1,True,188
Kandidat - bespravni objekat,0.908,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,192.5,1.05,0.46,45.14,,,,1,False,
Podudara se sa legalnim objektom,0.9,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,257.5,1.18,0.45,63.03,381,ADICA-TEST-86,Adica,1,True,241
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,143.0,1.73,0.68,34.57,,,,1,False,
Podudara se sa legalnim objektom,0.925,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,342.0,2.81,0.47,83.43,349,ADICA-TEST-54,Adica,1,True,209
Podudara se sa legalnim objektom,0.873,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,1704.5,1.55,0.42,402.52,297,ADICA-TEST-2,Adica,1,True,157
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,446.5,1.07,0.57,108.16,324,ADICA-TEST-29,Adica,1,True,184
Podudara se sa legalnim objektom,0.938,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,211.0,1.33,0.49,51.02,406,ADICA-TEST-111,Adica,1,True,266
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,453.0,1.0,0.79,107.68,326,ADICA-TEST-31,Adica,1,True,186
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,227.0,1.4,0.72,54.74,399,ADICA-TEST-104,Adica,1,True,259
Podudara se sa legalnim objektom,0.803,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,525.5,1.55,0.35,125.69,312,ADICA-TEST-17,Adica,1,True,172
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,171.0,2.8,0.61,39.86,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,368.5,1.27,0.6,90.16,399,ADICA-TEST-104,Adica,1,True,259
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,126.0,1.25,0.7,30.49,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,383.0,1.39,0.52,89.2,343,ADICA-TEST-48,Adica,1,True,203
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,298.0,1.15,0.65,72.99,343,ADICA-TEST-48,Adica,1,True,221
